episode,phase,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
368,1.0,1096.075,500,0,1,0,285,nan,517.565369,nan
369,1.0,1095.95,500,0,1,0,310,nan,508.556152,nan
370,1.0,1096.065,500,0,0,0,287,nan,521.677185,nan
371,1.0,1096.105,500,0,0,0,279,nan,513.03772,nan
372,1.0,1096.055,500,0,1,0,289,nan,496.280762,nan
373,1.0,1096.11,500,0,0,0,278,nan,507.156097,nan
374,1.0,996.185,500,0,1,0,263,nan,455.325806,nan
375,1.0,1096.095,500,0,1,0,281,nan,503.812378,nan
376,1.0,1196.05,500,0,0,0,290,nan,580.946777,nan
377,1.0,1096.105,500,0,1,0,279,nan,510.812714,nan
378,1.0,1096.095,500,0,1,0,281,nan,534.167725,nan
379,1.0,1096.065,500,0,0,0,287,nan,516.361267,nan
380,1.0,996.18,500,0,1,0,264,nan,463.746826,nan
381,1.0,1096.04,500,0,0,0,292,nan,504.907471,nan
382,1.0,1096.11,500,0,0,0,278,nan,528.665588,nan
383,1.0,1196.07,500,0,0,0,286,nan,532.981384,nan
384,1.0,1096.125,500,0,1,0,275,nan,520.336914,nan
385,1.0,1096.05,500,0,1,0,290,nan,518.749268,nan
386,1.0,1196.145,500,0,0,0,271,nan,544.509521,nan
387,1.0,1096.13,500,0,0,0,274,nan,502.201904,nan
388,1.0,1096.14,500,0,0,0,272,nan,509.263489,nan
389,1.0,1196.04,500,0,0,0,292,nan,547.919128,nan
390,1.0,996.09,500,0,1,0,282,nan,464.568665,nan
391,1.0,1196.165,500,0,0,0,267,nan,546.302429,nan
392,1.0,1096.045,500,0,1,0,291,nan,514.535095,nan
393,1.0,1096.11,500,0,1,0,278,nan,502.332916,nan
394,1.0,996.015,500,0,1,0,297,nan,459.121521,nan
395,1.0,1096.145,500,0,1,0,271,nan,498.925751,nan
396,1.0,1196.005,500,0,0,0,299,nan,541.214233,nan
397,1.0,1096.095,500,0,1,0,281,nan,511.055511,nan
398,1.0,1196.09,500,0,0,0,282,nan,537.560974,nan
399,1.0,1196.095,500,0,1,0,281,nan,540.902039,nan
400,1.0,1096.125,500,0,0,0,275,nan,514.667847,nan
401,1.0,1096.015,500,0,0,0,297,nan,524.520691,nan
402,1.0,1096.245,500,0,0,0,251,nan,501.513397,nan
403,1.0,1196.165,500,0,0,0,267,nan,534.79126,nan
404,1.0,1096.14,500,0,1,0,272,nan,508.867889,nan
405,1.0,1196.18,500,0,0,0,264,nan,566.70282,nan
406,1.0,1196.125,500,0,0,0,275,nan,577.718262,nan
407,1.0,1096.09,500,0,1,0,282,nan,524.234009,nan
408,1.0,1096.14,500,0,0,0,272,nan,511.362885,nan
409,1.0,1096.14,500,0,1,0,272,nan,503.715179,nan
410,1.0,1096.24,500,0,1,0,252,nan,518.271973,nan
411,1.0,1096.13,500,0,1,0,274,nan,499.352417,nan
412,1.0,1096.21,500,0,0,0,258,nan,531.759766,nan
413,1.0,1096.165,500,0,0,0,267,nan,504.216431,nan
414,1.0,1196.21,500,0,0,0,258,nan,548.476624,nan
415,1.0,1096.23,500,0,0,0,254,nan,504.816498,nan
416,1.0,1096.23,500,0,0,0,254,nan,533.757141,nan
417,1.0,1096.09,500,0,1,0,282,nan,503.062622,nan
418,1.0,1196.185,500,0,0,0,263,nan,556.556824,nan
419,1.0,1196.24,500,0,0,0,252,nan,575.539307,nan
420,1.0,1096.29,500,0,1,0,242,nan,522.485291,nan
421,1.0,996.25,500,0,1,0,250,nan,466.195618,nan
422,1.0,1196.17,500,0,0,0,266,nan,563.621582,nan
423,1.0,1096.215,500,0,0,0,257,nan,505.680939,nan
424,1.0,1096.325,500,0,1,0,235,nan,511.23468,nan
425,1.0,1096.19,500,0,1,0,262,nan,496.735718,nan
426,1.0,1096.26,500,0,1,0,248,nan,500.87912,nan
427,1.0,1196.225,500,0,0,0,255,nan,550.946655,nan
428,1.0,1196.16,500,0,0,0,268,nan,559.208313,nan
429,1.0,1096.325,500,0,1,0,235,nan,502.553162,nan
430,1.0,1096.23,500,0,1,0,254,nan,503.762848,nan
431,1.0,1196.335,500,0,1,0,233,nan,540.310608,nan
432,1.0,1096.2,500,0,1,0,260,nan,491.907074,nan
433,1.0,1096.235,500,0,0,0,253,nan,487.198944,nan
434,1.0,996.16,500,0,1,0,268,nan,468.517883,nan
435,1.0,1196.315,500,0,0,0,237,nan,544.371765,nan
436,1.0,1096.255,500,0,0,0,249,nan,534.685303,nan
