Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
246,80.0,20.0,20.0,-1.0,3.4077,0.0,-0.005
247,60.0,-20.0,-20.0,-1.0,4.9769,0.0,-0.005
248,80.0,20.0,20.0,1.0,3.4857,0.0,-0.055
249,60.0,-20.0,-20.0,1.0,4.8936,0.0,-0.055
250,40.0,-20.0,-20.0,-1.0,6.7333,0.0,-0.005
251,20.0,-20.0,-20.0,-1.0,8.0491,0.0,-0.005
252,0.0,-20.0,-20.0,1.0,10.5316,0.0,9.945
253,0.0,-20.0,-20.0,1.0,1.438,0.0,-0.055
254,20.0,20.0,20.0,1.0,1.0744,0.0,-0.055
255,40.0,20.0,20.0,0.305,0.5966,0.0,-0.055
256,20.0,-20.0,-20.0,1.0,1.0261,0.0,-0.055
257,0.0,-20.0,-20.0,-1.0,1.67,0.0,-0.005
258,0.0,-20.0,-20.0,-1.0,1.5534,0.0,-0.005
259,0.0,-20.0,-20.0,1.0,1.2574,0.0,-0.055
260,20.0,20.0,20.0,-1.0,0.8866,0.0,-0.005
261,0.0,-20.0,-20.0,1.0,1.2986,0.0,-0.055
262,20.0,20.0,20.0,1.0,0.839,0.0,-0.055
263,40.0,20.0,20.0,1.0,0.5314,0.0,-0.055
264,20.0,-20.0,-20.0,1.0,1.067,0.0,-0.055
265,8.299,-11.701,-11.701,-1.0,1.0636,0.0,-0.005
266,24.067,15.768,15.768,1.0,0.9216,0.0,-0.055
267,44.067,20.0,20.0,-1.0,0.5485,0.0,-0.005
268,64.067,20.0,20.0,-1.0,0.2018,0.0,-0.005
269,84.067,20.0,20.0,-1.0,-0.3099,0.0,-0.005
270,64.067,-20.0,-20.0,1.0,0.3028,0.0,-0.055
271,44.067,-20.0,-20.0,1.0,0.5396,0.0,-0.055
272,24.067,-20.0,-20.0,-1.0,0.7377,0.0,-0.005
273,44.067,20.0,20.0,1.0,0.4441,0.0,-0.055
274,24.067,-20.0,-20.0,0.426,0.8981,0.0,-0.055
275,44.067,20.0,20.0,-1.0,0.5897,0.0,-0.005
276,64.067,20.0,20.0,1.0,0.0891,0.0,-0.055
277,84.067,20.0,20.0,-1.0,-0.3257,0.0,-0.005
278,64.067,-20.0,-20.0,-1.0,0.3801,0.0,-0.005
279,44.067,-20.0,-20.0,1.0,0.8523,0.0,-0.055
280,24.067,-20.0,-20.0,1.0,0.8001,0.0,-0.055
281,4.067,-20.0,-20.0,1.0,1.3409,0.0,-0.055
282,0.0,-20.0,-20.0,1.0,1.9308,0.0,-0.055
283,20.0,20.0,20.0,-1.0,1.1341,0.0,-0.005
284,40.0,20.0,20.0,-1.0,0.6934,0.0,-0.005
285,60.0,20.0,20.0,1.0,0.2948,0.0,-0.055
286,40.0,-20.0,-20.0,-1.0,0.5634,0.0,-0.005
287,60.0,20.0,20.0,-1.0,0.2359,0.0,-0.005
288,40.0,-20.0,-20.0,-1.0,0.4831,0.0,-0.005
289,20.0,-20.0,-20.0,1.0,0.7705,0.0,-0.055
290,0.0,-20.0,-20.0,1.0,1.4323,0.0,-0.055
291,20.0,20.0,20.0,-1.0,1.0164,0.0,-0.005
292,0.0,-20.0,-20.0,1.0,1.6416,0.0,-0.055
293,0.0,-20.0,-20.0,1.0,1.5228,0.0,-0.055
294,20.0,20.0,20.0,1.0,0.8456,0.0,-0.055
295,0.0,-20.0,-20.0,-1.0,1.4652,0.0,-0.005
296,0.0,-20.0,-20.0,0.963,1.385,0.0,-0.055
297,20.0,20.0,20.0,-1.0,0.9316,0.0,-0.005
298,0.0,-20.0,-20.0,1.0,1.6544,0.0,-0.055
299,0.0,-20.0,-20.0,1.0,1.4236,0.0,-0.055
300,20.0,20.0,20.0,1.0,0.9841,0.0,-0.055
301,0.0,-20.0,-20.0,1.0,1.3926,0.0,-0.055
302,20.0,20.0,20.0,1.0,0.9078,0.0,-0.055
303,0.0,-20.0,-20.0,-1.0,1.7881,0.0,-0.005
304,0.0,-20.0,-20.0,1.0,1.5154,0.0,-0.055
305,20.0,20.0,20.0,-1.0,1.0174,0.0,-0.005
306,13.568,-6.432,-6.432,-1.0,1.0566,0.0,-0.005
307,33.568,20.0,20.0,-1.0,0.8458,0.0,-0.005
308,24.741,-8.827,-8.827,-1.0,0.6438,0.0,-0.005
309,44.741,20.0,20.0,-1.0,0.4691,0.0,-0.005
310,24.741,-20.0,-20.0,-0.058,0.8773,0.0,-0.005
311,4.741,-20.0,-20.0,1.0,1.2426,0.0,-0.055
312,0.0,-20.0,-20.0,1.0,1.8603,0.0,-0.055
313,20.0,20.0,20.0,1.0,0.9255,0.0,-0.055
314,0.0,-20.0,-20.0,-1.0,1.7522,0.0,-0.005
315,20.0,20.0,20.0,1.0,0.9925,0.0,-0.055
316,0.0,-20.0,-20.0,-1.0,1.735,0.0,-0.005
