episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
357,1195.84,500,332,12,21.083333333333332,nan,555.274658,nan
358,1095.825,500,335,11,23.272727272727273,nan,513.053711,nan
359,1095.755,500,349,11,20.09090909090909,nan,516.419373,nan
360,1195.86,500,328,12,20.666666666666668,nan,543.036621,nan
361,1295.87,500,326,13,18.076923076923077,nan,607.511108,nan
362,1195.885,500,323,12,20.416666666666668,nan,562.876648,nan
363,1095.74,500,352,11,21.545454545454547,nan,505.202057,nan
364,1095.87,500,326,11,21.181818181818183,nan,483.392303,nan
365,1095.83,500,334,11,20.727272727272727,nan,523.798096,nan
366,1195.865,500,327,12,19.833333333333332,nan,553.6828,nan
367,1195.92,500,316,12,19.5,nan,545.885437,nan
368,1095.85,500,330,11,19.818181818181817,nan,502.461548,nan
369,1095.875,500,325,11,21.272727272727273,nan,499.482086,nan
370,1195.785,500,343,12,20.833333333333332,nan,552.566895,nan
371,1195.855,500,329,12,19.416666666666668,nan,560.972351,nan
372,1195.79,500,342,12,20.0,nan,531.477356,nan
373,1095.85,500,330,11,23.90909090909091,nan,512.896301,nan
374,1095.95,500,310,11,20.0,nan,480.831268,nan
375,1195.805,500,339,12,19.666666666666668,nan,550.735046,nan
376,1195.795,500,341,12,20.666666666666668,nan,530.906372,nan
377,1195.715,500,357,12,20.0,nan,527.601868,nan
378,1195.79,500,342,12,21.083333333333332,nan,540.886108,nan
379,1195.86,500,328,12,21.833333333333332,nan,556.501465,nan
380,1195.815,500,337,12,21.666666666666668,nan,562.067627,nan
381,1095.81,500,338,11,20.272727272727273,nan,490.978271,nan
382,1095.835,500,333,11,21.363636363636363,nan,506.861359,nan
383,1095.82,500,336,11,22.0,nan,515.933411,nan
384,1195.86,500,328,12,21.083333333333332,nan,538.633972,nan
385,1095.795,500,341,11,19.90909090909091,nan,487.651428,nan
386,1195.835,500,333,12,20.916666666666668,nan,564.446045,nan
387,1195.86,500,328,12,19.75,nan,561.438232,nan
388,1095.835,500,333,11,19.727272727272727,nan,500.831726,nan
389,1195.945,500,311,12,19.0,nan,559.92218,nan
390,1195.85,500,330,12,22.333333333333332,nan,572.875,nan
391,1095.955,500,309,11,21.272727272727273,nan,512.792847,nan
392,1095.8,500,340,11,21.363636363636363,nan,493.127777,nan
393,1095.93,500,314,11,20.727272727272727,nan,509.274902,nan
394,995.945,500,311,10,23.6,nan,459.439545,nan
395,1195.92,500,316,12,19.5,nan,544.469788,nan
396,1095.875,500,325,11,20.727272727272727,nan,496.25174,nan
397,1095.97,500,306,11,20.09090909090909,nan,486.339844,nan
398,1095.87,500,326,11,23.545454545454547,nan,518.643921,nan
399,1195.9,500,320,12,20.833333333333332,nan,554.503174,nan
400,1196.015,500,297,12,22.25,nan,564.89209,nan
401,1295.965,500,307,13,21.307692307692307,nan,594.147217,nan
402,1095.96,500,308,11,20.181818181818183,nan,511.526581,nan
403,1295.95,500,310,13,19.692307692307693,nan,570.467102,nan
404,1096.045,500,291,11,21.09090909090909,nan,492.724426,nan
405,1196.02,500,296,12,19.75,nan,556.466125,nan
406,1196.07,500,286,12,20.0,nan,547.770569,nan
407,1196.055,500,289,12,19.666666666666668,nan,559.65979,nan
408,1195.955,500,309,12,21.333333333333332,nan,542.360779,nan
409,1196.06,500,288,12,22.916666666666668,nan,556.597961,nan
410,1096.045,500,291,11,23.0,nan,526.06842,nan
411,1196.08,500,284,12,21.666666666666668,nan,564.106384,nan
412,1196.135,500,273,12,19.416666666666668,nan,525.084961,nan
413,1196.2,500,260,12,20.75,nan,537.158386,nan
414,1196.26,500,248,12,19.416666666666668,nan,539.80249,nan
415,1196.24,500,252,12,20.0,nan,541.488892,nan
